date,texpms,ccdsel
2024-02-09 01:09:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2024-02-09 14:21:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2024-02-09 16:11:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2024-02-09 21:40:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2024-02-12 01:24:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2024-02-12 04:23:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2024-02-12 08:32:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2024-02-12 14:36:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2024-02-12 16:25:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2024-02-12 21:55:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2024-02-15 01:38:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2024-02-15 04:38:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2024-02-15 08:47:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2024-02-15 14:50:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2024-02-15 16:40:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2024-02-15 22:09:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
