start_date,end_date,id,name,version,standard_altitude,yaw_correction,pointing_altitudes,xml_file,description_short,description_long
2025-01-16,2025-01-16 23:59:56,1109,CROPFS,02,92500,False,[],STP-MTS-1109_25011625011302CROPFS.xml,,[]
2025-01-17,2025-01-17 23:59:56,1109,CROPFS,02,92500,False,[],STP-MTS-1109_25011725011302CROPFS.xml,,[]
2025-01-18,2025-01-18 23:59:56,1109,CROPFS,02,92500,False,[],STP-MTS-1109_25011825011302CROPFS.xml,,[]
2025-01-19,2025-01-19 23:59:56,1109,CROPFS,02,92500,False,[],STP-MTS-1109_25011925011302CROPFS.xml,,[]
2025-01-20,2025-01-20 23:59:56,1109,CROPFS,02,92500,False,[],STP-MTS-1109_25012025011302CROPFS.xml,,[]
2025-01-21,2025-01-21 23:59:56,1109,CROPFS,02,92500,False,[],STP-MTS-1109_25012125011302CROPFS.xml,,[]
