start_date,end_date,id,name,version,standard_altitude,yaw_correction,pointing_altitudes,xml_file,description_short,description_long
2026-07-11 00:15:00,2026-07-11 16:15:00,3205,FFEXP,01,-1,False,[220000],STP-MTS-3205_26071126070901FFEXP.xml,,[]
2026-07-12 00:00:00,2026-07-12 23:59:56,1109,CROPFN0,02,92500,True,[],STP-MTS-1109_26071226070902CROPFN0.xml,,[]
2026-07-13 00:00:00,2026-07-13 23:59:56,1109,CROPFN0,02,92500,True,[],STP-MTS-1109_26071326070902CROPFN0.xml,,[]
2026-07-14 00:00:00,2026-07-14 23:59:56,1109,CROPFN0,02,92500,True,[],STP-MTS-1109_26071426070902CROPFN0.xml,,[]
2026-07-15 00:00:00,2026-07-15 23:59:56,1109,CROPFN0,02,92500,True,[],STP-MTS-1109_26071526070902CROPFN0.xml,,[]
