date,texpms,ccdsel
2024-04-28 05:14:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2024-04-28 09:22:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2024-04-28 15:26:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2024-04-28 17:16:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2024-04-28 21:08:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2024-05-01 00:51:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2024-05-01 05:26:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2024-05-01 09:35:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2024-05-01 17:28:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2024-05-01 21:21:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2024-05-04 01:03:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2024-05-04 09:47:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2024-05-04 14:14:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2024-05-04 21:33:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2024-05-07 01:15:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2024-05-07 04:14:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2024-05-07 14:26:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2024-05-07 16:16:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2024-05-07 21:45:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2024-05-10 01:27:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2024-05-10 04:26:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2024-05-10 08:35:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2024-05-10 14:38:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2024-05-10 16:29:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2024-05-10 21:57:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2024-05-13 01:39:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2024-05-13 04:38:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2024-05-13 08:47:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2024-05-13 14:50:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2024-05-13 16:40:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2024-05-13 22:09:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
