start_date,end_date,id,name,version,standard_altitude,yaw_correction,pointing_altitudes,xml_file,description_short,description_long
2024-08-10,2024-08-10 23:59:56,1109,CROPFN,02,92500,True,[],STP-MTS-1109_24081024080502CROPFN.xml,,[]
2024-08-11,2024-08-11 23:59:56,1109,CROPFN,02,92500,True,[],STP-MTS-1109_24081124080502CROPFN.xml,,[]
2024-08-12,2024-08-12 23:59:56,1109,CROPFN,02,92500,True,[],STP-MTS-1109_24081224080502CROPFN.xml,,[]
2024-08-13,2024-08-13 23:59:56,1109,CROPFN,02,92500,True,[],STP-MTS-1109_24081324080502CROPFN.xml,,[]
2024-08-14,2024-08-14 23:59:56,1109,CROPFN,02,92500,True,[],STP-MTS-1109_24081424080502CROPFN.xml,,[]
2024-08-15,2024-08-15 23:59:56,1109,CROPFN,02,92500,True,[],STP-MTS-1109_24081524080502CROPFN.xml,,[]
2024-08-16,2024-08-16 23:59:56,1109,CROPFN,02,92500,True,[],STP-MTS-1109_24081624080502CROPFN.xml,,[]
