start_date,end_date,id,name,version,standard_altitude,yaw_correction,pointing_altitudes,xml_file,description_short,description_long
2023-11-25,2023-11-25 23:59:56,1109,CROPFS,02,92500,False,[],STP-MTS-1109_23112523112202CROPFS.xml,,[]
2023-11-26,2023-11-26 23:59:56,1109,CROPFS,02,92500,False,[],STP-MTS-1109_23112623112202CROPFS.xml,,[]
2023-11-27,2023-11-27 23:59:56,1109,CROPFS,02,92500,False,[],STP-MTS-1109_23112723112202CROPFS.xml,,[]
2023-11-28,2023-11-28 23:59:56,1109,CROPFS,02,92500,False,[],STP-MTS-1109_23112823112202CROPFS.xml,,[]
2023-11-29,2023-11-29 23:59:56,1109,CROPFS,02,92500,False,[],STP-MTS-1109_23112923112202CROPFS.xml,,[]
2023-11-30,2023-11-30 23:59:56,1109,CROPFS,02,92500,False,[],STP-MTS-1109_23113023112202CROPFS.xml,,[]
2023-12-01,2023-12-01 23:59:56,1109,CROPFS,02,92500,False,[],STP-MTS-1109_23120123112202CROPFS.xml,,[]
