date,texpms,ccdsel
2023-10-19 05:28:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-10-19 09:37:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2023-10-19 17:31:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-10-19 21:24:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2023-10-20 00:59:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-10-20 05:34:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-10-20 09:43:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2023-10-20 14:11:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-10-20 21:30:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2023-10-21 01:04:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-10-21 09:49:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2023-10-21 14:16:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-10-21 21:35:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2023-10-22 01:10:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-10-22 09:54:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2023-10-22 14:22:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-10-22 21:41:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2023-10-23 01:16:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-10-23 04:15:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-10-23 14:27:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-10-23 16:18:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-10-23 21:47:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2023-10-24 01:21:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-10-24 04:20:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-10-24 14:33:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-10-24 16:23:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-10-24 21:52:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2023-10-25 01:27:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-10-25 04:26:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-10-25 14:39:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-10-25 16:29:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-10-25 16:29:20,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-10-25 21:58:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2023-10-26 01:33:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-10-26 04:32:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-10-26 08:41:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2023-10-26 14:45:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-10-26 16:35:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-10-26 22:04:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2023-10-27 01:38:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-10-27 04:38:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-10-27 08:46:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2023-10-27 14:50:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-10-27 16:40:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-10-27 22:10:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2023-10-28 01:44:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-10-28 04:43:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-10-28 08:52:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2023-10-28 14:56:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-10-28 16:46:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-10-28 22:15:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2023-10-29 01:50:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-10-29 04:49:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-10-29 08:58:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2023-10-29 15:02:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-10-29 16:51:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-10-29 22:21:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
