start_date,end_date,id,name,version,standard_altitude,yaw_correction,pointing_altitudes,xml_file,description_short,description_long
2026-08-06,2026-08-06 23:59:56,1109,CROPFN0,02,92500,True,[],STP-MTS-1109_26080626080302CROPFN0.xml,,[]
2026-08-07,2026-08-07 23:59:56,1109,CROPFN0,02,92500,True,[],STP-MTS-1109_26080726080302CROPFN0.xml,,[]
2026-08-08,2026-08-08 23:59:56,1109,CROPFN0,02,92500,True,[],STP-MTS-1109_26080826080302CROPFN0.xml,,[]
2026-08-09,2026-08-09 23:59:56,1109,CROPFN0,02,92500,True,[],STP-MTS-1109_26080926080302CROPFN0.xml,,[]
2026-08-10,2026-08-10 23:59:56,1109,CROPFN0,02,92500,True,[],STP-MTS-1109_26081026080302CROPFN0.xml,,[]
2026-08-11,2026-08-11 23:59:56,1109,CROPFN0,02,92500,True,[],STP-MTS-1109_26081126080302CROPFN0.xml,,[]
2026-08-12,2026-08-12 23:59:56,1109,CROPFN0,02,92500,True,[],STP-MTS-1109_26081226080302CROPFN0.xml,,[]
