start_date,end_date,id,name,version,standard_altitude,yaw_correction,pointing_altitudes,xml_file,description_short,description_long
2025-02-24,2025-02-24 23:59:56,1109,CROPFS,02,92500,False,[],STP-MTS-1109_25022425021902CROPFS.xml,,[]
2025-02-25,2025-02-25 23:59:56,1109,CROPFS,02,92500,False,[],STP-MTS-1109_25022525021902CROPFS.xml,,[]
2025-02-26,2025-02-26 23:59:56,1109,CROPFS,02,92500,False,[],STP-MTS-1109_25022625021902CROPFS.xml,,[]
2025-02-27,2025-02-27 23:59:56,1109,CROPFS,02,92500,False,[],STP-MTS-1109_25022725021902CROPFS.xml,,[]
