date,texpms,ccdsel
2023-08-15 17:26:00, "[15000,15000]", "[1,2,4,8,16,32]"
2023-08-16 05:29:00, "[15000,15000]", "[1,2,4,8,16,32]"
2023-08-16 09:38:00, "[5000,5000]", "[1,2,4,8,16,32]"
2023-08-16 17:32:00, "[15000,15000]", "[1,2,4,8,16,32]"
2023-08-16 21:25:00, "[5000,5000]", "[1,2,4,8,16,32]"
2023-08-17 01:00:00, "[15000,15000]", "[1,2,4,8,16,32]"
2023-08-17 05:35:00, "[15000,15000]", "[1,2,4,8,16,32]"
2023-08-17 09:44:00, "[3000,3000]", "[1,2,4,8,16,32]"
2023-08-17 14:12:00, "[15000,15000]", "[1,2,4,8,16,32]"
2023-08-17 21:31:00, "[3000,3000]", "[1,2,4,8,16,32]"
2023-08-18 01:06:00, "[15000,15000]", "[1,2,4,8,16,32]"
2023-08-18 09:51:00, "[5000,5000]", "[1,2,4,8,16,32]"
2023-08-18 14:18:00, "[15000,15000]", "[1,2,4,8,16,32]"
2023-08-18 21:38:00, "[5000,5000]", "[1,2,4,8,16,32]"
2023-08-19 01:12:00, "[15000,15000]", "[1,2,4,8,16,32]"
2023-08-19 09:57:00, "[3000,3000]", "[1,2,4,8,16,32]"
2023-08-19 14:24:00, "[15000,15000]", "[1,2,4,8,16,32]"
2023-08-19 21:44:00, "[3000,3000]", "[1,2,4,8,16,32]"
2023-08-20 01:18:00, "[15000,15000]", "[1,2,4,8,16,32]"
2023-08-20 04:17:00, "[15000,15000]", "[1,2,4,8,16,32]"
2023-08-20 14:30:00, "[15000,15000]", "[1,2,4,8,16,32]"
2023-08-20 16:20:00, "[15000,15000]", "[1,2,4,8,16,32]"
2023-08-20 21:50:00, "[5000,5000]", "[1,2,4,8,16,32]"
2023-08-21 01:24:00, "[15000,15000]", "[1,2,4,8,16,32]"
2023-08-21 04:24:00, "[15000,15000]", "[1,2,4,8,16,32]"
2023-08-21 14:37:00, "[15000,15000]", "[1,2,4,8,16,32]"
2023-08-21 16:26:00, "[15000,15000]", "[1,2,4,8,16,32]"
2023-08-21 21:56:00, "[5000,5000]", "[1,2,4,8,16,32]"
2023-08-22 01:30:00, "[15000,15000]", "[1,2,4,8,16,32]"
2023-08-22 04:30:00, "[15000,15000]", "[1,2,4,8,16,32]"
2023-08-22 08:39:00, "[3000,3000]", "[1,2,4,8,16,32]"
2023-08-22 14:43:00, "[15000,15000]", "[1,2,4,8,16,32]"
2023-08-22 16:33:00, "[15000,15000]", "[1,2,4,8,16,32]"
2023-08-22 22:02:00, "[3000,3000]", "[1,2,4,8,16,32]"
2023-08-23 01:37:00, "[15000,15000]", "[1,2,4,8,16,32]"
2023-08-23 04:36:00, "[15000,15000]", "[1,2,4,8,16,32]"
2023-08-23 08:45:00, "[5000,5000]", "[1,2,4,8,16,32]"
2023-08-23 14:49:00, "[15000,15000]", "[1,2,4,8,16,32]"
2023-08-23 16:39:00, "[15000,15000]", "[1,2,4,8,16,32]"
2023-08-23 22:09:00, "[5000,5000]", "[1,2,4,8,16,32]"
2023-08-24 01:43:00, "[15000,15000]", "[1,2,4,8,16,32]"
2023-08-24 04:42:00, "[15000,15000]", "[1,2,4,8,16,32]"
2023-08-24 08:51:00, "[3000,3000]", "[1,2,4,8,16,32]"
2023-08-24 14:55:00, "[15000,15000]", "[1,2,4,8,16,32]"
2023-08-24 16:45:00, "[15000,15000]", "[1,2,4,8,16,32]"
2023-08-24 22:15:00, "[3000,3000]", "[1,2,4,8,16,32]"
