date,texpms,ccdsel
2024-03-23 01:17:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2024-03-23 04:16:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2024-03-23 14:28:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2024-03-23 16:18:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2024-03-23 21:47:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2024-03-26 01:30:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2024-03-26 04:29:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2024-03-26 08:38:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2024-03-26 14:42:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2024-03-26 16:32:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2024-03-26 22:01:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2024-03-29 01:44:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2024-03-29 04:43:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2024-03-29 08:52:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2024-03-29 14:55:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2024-03-29 16:45:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2024-03-29 22:14:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2024-04-01 01:57:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2024-04-01 04:56:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2024-04-01 09:05:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2024-04-01 15:08:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2024-04-01 16:58:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2024-04-04 02:10:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2024-04-04 05:09:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2024-04-04 09:18:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2024-04-04 15:21:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2024-04-04 17:11:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2024-04-07 05:22:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2024-04-07 09:31:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2024-04-07 17:24:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2024-04-07 21:17:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2024-04-10 01:00:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2024-04-10 09:44:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2024-04-10 14:11:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2024-04-10 21:31:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2024-04-13 01:13:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2024-04-13 04:13:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2024-04-13 14:24:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2024-04-13 16:14:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2024-04-13 21:44:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
