start_date,end_date,id,name,version,standard_altitude,yaw_correction,pointing_altitudes,xml_file,description_short,description_long
2024-08-24,2024-08-24 23:59:56,1109,CROPFN,02,92500,True,[],STP-MTS-1109_24082424082102CROPFN.xml,,[]
2024-08-25,2024-08-25 23:59:56,1109,CROPFN,02,92500,True,[],STP-MTS-1109_24082524082102CROPFN.xml,,[]
2024-08-26,2024-08-26 23:59:56,1109,CROPFN,02,92500,True,[],STP-MTS-1109_24082624082102CROPFN.xml,,[]
2024-08-27,2024-08-27 23:59:56,1109,CROPFN,02,92500,True,[],STP-MTS-1109_24082724082102CROPFN.xml,,[]
2024-08-28,2024-08-28 23:59:56,1109,CROPFN,02,92500,True,[],STP-MTS-1109_24082824082102CROPFN.xml,,[]
