date,texpms,ccdsel
2023-10-08 01:25:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-10-08 04:24:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-10-08 14:37:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-10-08 16:27:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-10-08 21:56:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2023-10-09 01:31:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-10-09 04:30:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-10-09 08:39:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2023-10-09 14:43:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-10-09 16:33:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-10-09 22:02:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2023-10-10 01:36:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-10-10 04:36:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-10-10 08:45:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2023-10-10 14:49:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-10-10 16:39:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-10-10 22:08:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2023-10-11 01:42:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-10-11 04:41:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-10-11 08:51:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2023-10-11 14:55:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-10-11 16:44:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-10-11 22:14:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2023-10-12 01:48:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-10-12 04:48:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-10-12 08:57:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2023-10-12 15:00:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-10-12 22:20:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2023-10-13 01:54:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-10-13 04:53:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-10-13 09:03:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2023-10-13 15:06:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-10-13 16:56:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-10-13 22:25:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2023-10-14 02:00:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-10-14 04:59:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-10-14 09:08:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2023-10-14 15:12:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-10-14 17:02:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-10-14 22:31:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
