start_date,end_date,id,name,version,standard_altitude,yaw_correction,pointing_altitudes,xml_file,description_short,description_long
2024-08-16,2024-08-16 23:59:56,1109,CROPFN,02,92500,True,[],STP-MTS-1109_24081624081302CROPFN.xml,,[]
2024-08-17,2024-08-17 23:59:56,1109,CROPFN,02,92500,True,[],STP-MTS-1109_24081724081302CROPFN.xml,,[]
2024-08-18,2024-08-18 23:59:56,1109,CROPFN,02,92500,True,[],STP-MTS-1109_24081824081302CROPFN.xml,,[]
2024-08-19,2024-08-19 23:59:56,1109,CROPFN,02,92500,True,[],STP-MTS-1109_24081924081302CROPFN.xml,,[]
2024-08-20,2024-08-20 23:59:56,1109,CROPFN,02,92500,True,[],STP-MTS-1109_24082024081302CROPFN.xml,,[]
2024-08-21,2024-08-21 23:59:56,1109,CROPFN,02,92500,True,[],STP-MTS-1109_24082124081302CROPFN.xml,,[]
2024-08-22,2024-08-22 23:59:56,1109,CROPFN,02,92500,True,[],STP-MTS-1109_24082224081302CROPFN.xml,,[]
