start_date,end_date,id,name,version,standard_altitude,yaw_correction,pointing_altitudes,xml_file,description_short,description_long
2024-09-21,2024-09-21 23:59:56,1109,CROPFN,02,92500,True,[],STP-MTS-1109_24092124091802CROPFN.xml,,[]
2024-09-22,2024-09-22 23:59:56,1109,CROPFN,02,92500,True,[],STP-MTS-1109_24092224091802CROPFN.xml,,[]
2024-09-23,2024-09-23 23:59:56,1109,CROPFN,02,92500,True,[],STP-MTS-1109_24092324091802CROPFN.xml,,[]
2024-09-24,2024-09-24 23:59:56,1109,CROPFN,02,92500,True,[],STP-MTS-1109_24092424091802CROPFN.xml,,[]
2024-09-25,2024-09-25 23:59:56,1109,CROPFN,02,92500,True,[],STP-MTS-1109_24092524091802CROPFN.xml,,[]
2024-09-26,2024-09-26 23:59:56,1109,CROPFN,02,92500,True,[],STP-MTS-1109_24092624091802CROPFN.xml,,[]
