date,texpms,ccdsel
2023-12-25 02:07:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-12-25 09:15:40,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2023-12-25 15:19:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-12-27 05:17:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-12-27 09:26:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2023-12-27 17:19:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-12-31 01:02:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-12-31 14:14:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-12-31 21:32:40,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2024-01-01 01:07:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2024-01-01 09:51:20,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2024-01-01 14:19:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2024-01-03 01:17:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2024-01-03 04:16:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2024-01-03 21:48:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2024-01-07 01:37:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2024-01-07 14:49:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2024-01-07 22:08:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
