start_date,end_date,id,name,version,standard_altitude,yaw_correction,pointing_altitudes,xml_file,description_short,description_long
2023-12-24 00:00:00,2023-12-24 23:59:56,1109,CROPFS,02,92500,False,[],STP-MTS-1109_23122423121902CROPFS.xml,,[]
2023-12-25 01:52:00,2023-12-25 02:22:00,3204,RAD1,01,-1,False,[-1],STP-MTS-3204_23122523121801RAD1.xml,,[]
2023-12-25 09:00:40,2023-12-25 09:30:40,3204,RAD2,01,-1,False,[-1],STP-MTS-3204_23122523121801RAD2.xml,,[]
2023-12-25 15:04:00,2023-12-25 15:34:00,3204,RAD3,01,-1,False,[-1],STP-MTS-3204_23122523121801RAD3.xml,,[]
2023-12-27 05:02:00,2023-12-27 05:32:00,3204,RAD4,01,-1,False,[-1],STP-MTS-3204_23122723121801RAD4.xml,,[]
2023-12-27 09:11:00,2023-12-27 09:41:00,3204,RAD5,01,-1,False,[-1],STP-MTS-3204_23122723121801RAD5.xml,,[]
2023-12-27 17:04:00,2023-12-27 17:34:00,3204,RAD6,01,-1,False,[-1],STP-MTS-3204_23122723121801RAD6.xml,,[]
2023-12-28 00:00:00,2023-12-28 23:59:56,1109,CROPFS,02,92500,False,[],STP-MTS-1109_23122823121902CROPFS.xml,,[]
2023-12-30 00:00:00,2023-12-30 23:59:56,1109,CROPFS,02,92500,False,[],STP-MTS-1109_23123023121902CROPFS.xml,,[]
2023-12-31 00:47:00,2023-12-31 01:17:00,3204,RAD7,01,-1,False,[-1],STP-MTS-3204_23123123121801RAD7.xml,,[]
2023-12-31 13:59:00,2023-12-31 14:29:00,3204,RAD8,01,-1,False,[-1],STP-MTS-3204_23123123121801RAD8.xml,,[]
2023-12-31 21:17:40,2023-12-31 21:47:40,3204,RAD6,01,-1,False,[-1],STP-MTS-3204_23123123121801RAD6.xml,,[]
2023-12-31 21:17:40,2023-12-31 21:47:40,3204,RAD9,01,-1,False,[-1],STP-MTS-3204_23123123121801RAD9.xml,,[]
2024-01-01 00:52:00,2024-01-01 01:22:00,3204,RAD7,01,-1,False,[-1],STP-MTS-3204_24010123121801RAD7.xml,,[]
2024-01-01 00:52:00,2024-01-01 01:22:00,3204,RAD10,01,-1,False,[-1],STP-MTS-3204_24010123121801RAD10.xml,,[]
2024-01-01 09:36:20,2024-01-01 10:06:20,3204,RAD11,01,-1,False,[-1],STP-MTS-3204_24010123121801RAD11.xml,,[]
2024-01-01 14:04:00,2024-01-01 14:34:00,3204,RAD12,01,-1,False,[-1],STP-MTS-3204_24010123121801RAD12.xml,,[]
2024-01-02 00:00:00,2024-01-02 23:59:56,1109,CROPFS,02,92500,False,[],STP-MTS-1109_24010223121902CROPFS.xml,,[]
2024-01-03 01:02:00,2024-01-03 01:32:00,3204,RAD13,01,-1,False,[-1],STP-MTS-3204_24010323121801RAD13.xml,,[]
2024-01-03 04:01:00,2024-01-03 04:31:00,3204,RAD14,01,-1,False,[-1],STP-MTS-3204_24010323121801RAD14.xml,,[]
2024-01-03 21:33:00,2024-01-03 22:03:00,3204,RAD15,01,-1,False,[-1],STP-MTS-3204_24010323121801RAD15.xml,,[]
2024-01-05 00:00:00,2024-01-05 23:59:56,1109,CROPFS,02,92500,False,[],STP-MTS-1109_24010523121902CROPFS.xml,,[]
2024-01-07 01:22:00,2024-01-07 01:52:00,3204,RAD16,01,-1,False,[-1],STP-MTS-3204_24010723121801RAD16.xml,,[]
2024-01-07 14:34:00,2024-01-07 15:04:00,3204,RAD17,01,-1,False,[-1],STP-MTS-3204_24010723121801RAD17.xml,,[]
2024-01-07 21:53:00,2024-01-07 22:23:00,3204,RAD18,01,-1,False,[-1],STP-MTS-3204_24010723121801RAD18.xml,,[]
