start_date,end_date,id,name,version,standard_altitude,yaw_correction,pointing_altitudes,xml_file,description_short,description_long
2024-08-29,2024-08-29 23:59:56,1109,CROPFN,02,92500,True,[],STP-MTS-1109_24082924082602CROPFN.xml,,[]
2024-08-30,2024-08-30 23:59:56,1109,CROPFN,02,92500,True,[],STP-MTS-1109_24083024082602CROPFN.xml,,[]
2024-08-31,2024-08-31 23:59:56,1109,CROPFN,02,92500,True,[],STP-MTS-1109_24083124082602CROPFN.xml,,[]
2024-09-01,2024-09-01 23:59:56,1109,CROPFN,02,92500,True,[],STP-MTS-1109_24090124082602CROPFN.xml,,[]
2024-09-02,2024-09-02 23:59:56,1109,CROPFN,02,92500,True,[],STP-MTS-1109_24090224082602CROPFN.xml,,[]
2024-09-03,2024-09-03 23:59:56,1109,CROPFN,02,92500,True,[],STP-MTS-1109_24090324082602CROPFN.xml,,[]
2024-09-04,2024-09-04 23:59:56,1109,CROPFN,02,92500,True,[],STP-MTS-1109_24090424082602CROPFN.xml,,[]
