date,texpms,ccdsel
2024-01-09 01:47:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2024-01-09 04:46:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2024-01-09 08:55:20,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2024-01-11 01:57:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2024-01-11 09:05:20,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2024-01-11 22:28:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2024-01-13 05:06:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2024-01-13 09:15:20,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2024-01-13 15:19:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
