start_date,end_date,id,name,version,standard_altitude,yaw_correction,pointing_altitudes,xml_file,description_short,description_long
2024-06-08,2024-06-08 23:59:56,1109,CROPFN,02,92500,True,[],STP-MTS-1109_24060824060402CROPFN.xml,,[]
2024-06-09,2024-06-09 23:59:56,1109,CROPFN,02,92500,True,[],STP-MTS-1109_24060924060402CROPFN.xml,,[]
2024-06-10,2024-06-10 23:59:56,1109,CROPFN,02,92500,True,[],STP-MTS-1109_24061024060402CROPFN.xml,,[]
2024-06-11,2024-06-11 23:59:56,1109,CROPFN,02,92500,True,[],STP-MTS-1109_24061124060402CROPFN.xml,,[]
2024-06-12,2024-06-12 23:59:56,1109,CROPFN,02,92500,True,[],STP-MTS-1109_24061224060402CROPFN.xml,,[]
2024-06-13,2024-06-13 23:59:56,1109,CROPFN,02,92500,True,[],STP-MTS-1109_24061324060402CROPFN.xml,,[]
