date,texpms,ccdsel
2024-02-01 02:07:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2024-02-01 05:06:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2024-02-01 09:15:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2024-02-01 15:18:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2024-02-01 17:08:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2024-02-04 05:21:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2024-02-04 09:30:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2024-02-04 17:23:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2024-02-04 21:16:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2024-02-07 01:00:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2024-02-07 09:44:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2024-02-07 14:11:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2024-02-07 21:30:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
