start_date,end_date,id,name,version,standard_altitude,yaw_correction,pointing_altitudes,xml_file,description_short,description_long
2024-01-15 05:03:00,2024-01-15 05:33:00,3204,RAD1,01,-1,False,[-1],STP-MTS-3204_24011524011001RAD1.xml,,[]
2024-01-15 09:12:00,2024-01-15 09:42:00,3204,RAD2,01,-1,False,[-1],STP-MTS-3204_24011524011001RAD2.xml,,[]
2024-01-15 17:06:00,2024-01-15 17:36:00,3204,RAD3,01,-1,False,[-1],STP-MTS-3204_24011524011001RAD3.xml,,[]
2024-01-15 20:58:00,2024-01-15 21:28:00,3204,RAD4,01,-1,False,[-1],STP-MTS-3204_24011524011001RAD4.xml,,[]
2024-01-16 00:00:00,2024-01-16 23:59:56,1109,CROPFA,02,92500,False,[],STP-MTS-1109_24011624011002CROPFA.xml,,[]
2024-01-18 00:43:00,2024-01-18 01:13:00,3204,RAD5,01,-1,False,[-1],STP-MTS-3204_24011824011001RAD5.xml,,[]
2024-01-18 09:27:00,2024-01-18 09:57:00,3204,RAD6,01,-1,False,[-1],STP-MTS-3204_24011824011001RAD6.xml,,[]
2024-01-18 13:55:00,2024-01-18 14:25:00,3204,RAD7,01,-1,False,[-1],STP-MTS-3204_24011824011001RAD7.xml,,[]
2024-01-18 21:13:00,2024-01-18 21:43:00,3204,RAD8,01,-1,False,[-1],STP-MTS-3204_24011824011001RAD8.xml,,[]
2024-01-19 00:00:00,2024-01-19 23:56:56,1109,CROPFA,02,92500,False,[],STP-MTS-1109_24011924011002CROPFA.xml,,[]
2024-01-20 00:00:00,2024-01-20 23:59:56,1109,CROPFA,02,92500,False,[],STP-MTS-1109_24012024011002CROPFA.xml,,[]
2024-01-21 00:58:00,2024-01-21 01:28:00,3204,RAD9,01,-1,False,[-1],STP-MTS-3204_24012124011001RAD9.xml,,[]
2024-01-21 03:57:00,2024-01-21 04:27:00,3204,RAD10,01,-1,False,[-1],STP-MTS-3204_24012124011001RAD10.xml,,[]
2024-01-21 14:10:00,2024-01-21 14:40:00,3204,RAD11,01,-1,False,[-1],STP-MTS-3204_24012124011001RAD11.xml,,[]
2024-01-21 15:59:00,2024-01-21 16:29:00,3204,RAD12,01,-1,False,[-1],STP-MTS-3204_24012124011001RAD12.xml,,[]
2024-01-21 21:28:00,2024-01-21 21:58:00,3204,RAD13,01,-1,False,[-1],STP-MTS-3204_24012124011001RAD13.xml,,[]
2024-01-22 00:00:00,2024-01-22 23:59:56,1109,CROPFA,02,92500,False,[],STP-MTS-1109_24012224011002CROPFA.xml,,[]
2024-01-23 00:00:00,2024-01-23 23:59:56,1109,CROPFA,02,92500,False,[],STP-MTS-1109_24012324011002CROPFA.xml,,[]
2024-01-24 01:13:00,2024-01-24 01:43:00,3204,RAD14,01,-1,False,[-1],STP-MTS-3204_24012424011001RAD14.xml,,[]
2024-01-24 04:12:00,2024-01-24 04:42:00,3204,RAD15,01,-1,False,[-1],STP-MTS-3204_24012424011001RAD15.xml,,[]
2024-01-24 08:21:00,2024-01-24 08:51:00,3204,RAD16,01,-1,False,[-1],STP-MTS-3204_24012424011001RAD16.xml,,[]
2024-01-24 14:24:00,2024-01-24 14:54:00,3204,RAD17,01,-1,False,[-1],STP-MTS-3204_24012424011001RAD17.xml,,[]
2024-01-24 16:15:00,2024-01-24 16:45:00,3204,RAD18,01,-1,False,[-1],STP-MTS-3204_24012424011001RAD18.xml,,[]
2024-01-24 21:44:00,2024-01-24 22:14:00,3204,RAD19,01,-1,False,[-1],STP-MTS-3204_24012424011001RAD19.xml,,[]
2024-01-25 00:00:00,2024-01-25 23:59:56,1109,CROPFA,02,92500,False,[],STP-MTS-1109_24012524011002CROPFA.xml,,[]
2024-01-26 00:00:00,2024-01-26 23:59:56,1109,CROPFA,02,92500,False,[],STP-MTS-1109_24012624011002CROPFA.xml,,[]
2024-01-27 01:28:00,2024-01-27 01:58:00,3204,RAD20,01,-1,False,[-1],STP-MTS-3204_24012724011001RAD20.xml,,[]
2024-01-27 04:27:00,2024-01-27 04:57:00,3204,RAD21,01,-1,False,[-1],STP-MTS-3204_24012724011001RAD21.xml,,[]
2024-01-27 08:36:00,2024-01-27 09:06:00,3204,RAD22,01,-1,False,[-1],STP-MTS-3204_24012724011001RAD22.xml,,[]
2024-01-27 14:40:00,2024-01-27 15:10:00,3204,RAD23,01,-1,False,[-1],STP-MTS-3204_24012724011001RAD23.xml,,[]
2024-01-27 16:29:00,2024-01-27 16:59:00,3204,RAD24,01,-1,False,[-1],STP-MTS-3204_24012724011001RAD24.xml,,[]
2024-01-27 21:59:00,2024-01-27 22:29:00,3204,RAD25,01,-1,False,[-1],STP-MTS-3204_24012724011001RAD25.xml,,[]
2024-01-29 00:00:00,2024-01-29 23:59:56,1109,CROPFA,02,92500,False,[],STP-MTS-1109_24012924011102CROPFA.xml,,[]
