start_date,end_date,id,name,version,standard_altitude,yaw_correction,pointing_altitudes,xml_file,description_short,description_long
2025-03-03,2025-03-03 23:59:56,1109,CROPFS,02,92500,False,[],STP-MTS-1109_25030325022702CROPFS.xml,,[]
2025-03-04,2025-03-04 23:59:56,1109,CROPFS,02,92500,False,[],STP-MTS-1109_25030425022702CROPFS.xml,,[]
2025-03-05,2025-03-05 23:59:56,1109,CROPFS,02,92500,False,[],STP-MTS-1109_25030525022702CROPFS.xml,,[]
2025-03-06,2025-03-06 23:59:56,1109,CROPFS,02,92500,False,[],STP-MTS-1109_25030625022702CROPFS.xml,,[]
2025-03-07,2025-03-07 23:59:56,1109,CROPFS,02,92500,False,[],STP-MTS-1109_25030725022702CROPFS.xml,,[]
